"title","vote_average","vote_count","budget","movie_id","genres_type","genres_id","original_language","popularity","release_date","revenue","runtime.mins.","ROI"
"The Shawshank Redemption",85,8205,25000000,278,"Drama",18,"en",136747729,"1994-09-23",28341469,142,13.365876
"There Goes My Baby",85,2,10500000,88641,"Drama",18,"en",37073,"1994-09-02",123509,99,-98.8237238095238
"The Godfather",84,5893,6000000,238,"Drama",18,"en",143659698,"1972-03-14",245066411,175,3984.44018333333
"Fight Club",83,9413,63000000,550,"Drama",18,"en",146757391,"1999-10-15",100853753,139,60.0853222222222
"Schindler's List",83,4329,22000000,424,"Drama",18,"en",104469351,"1993-11-29",321365567,195,1360.75257727273
"Spirited Away",83,3840,15000000,129,"Fantasy",14,"ja",118968562,"2001-07-20",274925095,125,1732.83396666667
"The Godfather: Part II",83,3338,13000000,240,"Drama",18,"en",105792936,"1974-12-20",47542841,200,265.714161538462
"Pulp Fiction",83,8428,8000000,680,"Thriller",53,"en",121463076,"1994-10-08",213928762,154,2574.109525
"Whiplash",83,4254,3300000,244786,"Drama",18,"en",192528841,"2014-10-10",13092000,105,296.727272727273
"The Dark Knight",82,12002,185000000,155,"Drama",18,"en",187322927,"2008-07-16",1004558444,152,443.004564324324
"The Green Mile",82,4048,60000000,497,"Fantasy",14,"en",103698022,"1999-12-10",284600000,189,374.333333333333
"Forrest Gump",82,7927,55000000,13,"Comedy",35,"en",138133331,"1994-07-06",677945399,142,1132.62799818182
"GoodFellas",82,3128,25000000,769,"Drama",18,"en",63654244,"1990-09-12",46836394,145,87.345576
"Howl's Moving Castle",82,1991,24000000,4935,"Fantasy",14,"ja",49549984,"2004-11-19",234710455,119,877.960229166667
"The Empire Strikes Back",82,5879,18000000,1891,"Adventure",12,"en",7851783,"1980-05-17",538400000,124,2891.11111111111
"Psycho",82,2320,806948,539,"Drama",18,"en",93067866,"1960-06-16",3.2e+07,109,3865.55911905104
"Princess Mononoke",82,1983,26500000,128,"Adventure",12,"ja",60732738,"1997-07-12",159375308,134,501.416256603774
"The Visual Bible: The Gospel of John",82,12,10000000,30973,"Drama",18,"en",3208172,"2003-09-11",4069090,125,-59.3091
"American History X",82,3016,20000000,73,"Drama",18,"en",73567232,"1998-10-30",23875127,119,19.375635
"One Flew Over the Cuckoo's Nest",82,2919,3000000,510,"Drama",18,"en",127525581,"1975-11-18",108981275,133,3532.70916666667
"Seven Samurai",82,878,2000000,346,"Action",28,"ja",39756748,"1954-04-26",271841,207,-86.40795
"12 Angry Men",82,2078,350000,389,"Drama",18,"en",59259204,"1957-03-25",1e+06,96,185.714285714286
